time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
60650,3.973178,8.281544,3.952827,0.040236,-0.050894,0.014389
60750,3.974375,8.289924,3.975572,0.043167,-0.052760,0.012257
60850,3.973178,8.271967,3.977966,0.038104,-0.047963,0.012257
60950,3.957615,8.282741,3.962404,0.041835,-0.052227,0.013590
61050,3.948039,8.271967,3.958812,0.041302,-0.049828,0.010925
61250,3.988740,8.281544,3.962404,0.040236,-0.052760,0.013856
61450,3.965995,8.265982,3.955221,0.036505,-0.050361,0.009326
61650,3.931279,8.273164,3.994725,0.035706,-0.050628,0.008260
62050,3.951630,8.262390,4.017470,0.038904,-0.053825,0.016521
62250,3.915717,8.255207,4.003105,0.042900,-0.053026,0.015988
62450,3.940856,8.255207,3.981557,0.048230,-0.053559,0.013057
62550,3.932476,8.264784,3.981557,0.047430,-0.055424,0.015455
62650,3.944447,8.267179,3.968389,0.042634,-0.050628,0.018386
62750,3.973178,8.252813,3.979163,0.048496,-0.050894,0.004796
62850,3.965995,8.301894,3.943250,0.053825,-0.061553,0.012524
62950,3.943250,8.312668,3.927688,0.042368,-0.050095,0.012790
63050,3.985149,8.298303,3.933673,0.033041,-0.044233,0.011724
63150,3.945644,8.321048,3.934870,0.020251,-0.027179,0.005329
63250,3.989937,8.214506,3.961207,0.035706,-0.059155,-0.011191
63350,3.873818,8.313866,3.982754,0.057023,-0.010658,0.016254
63450,3.936068,8.431181,3.909731,-0.045565,-0.028511,0.005063
63550,3.987543,8.468291,4.556166,-0.252073,0.091930,-0.043966
63650,3.687071,9.021352,5.631162,-0.550778,0.662692,-0.289378
63750,4.283227,8.938752,4.702212,-0.453519,0.630983,-0.528662
63850,2.366668,8.701726,5.692214,-0.690138,0.191853,-0.350398
63950,1.480814,8.086416,6.139930,-0.520401,0.099124,-0.421277
64050,1.634043,7.826645,7.553706,-0.452986,-0.017054,-0.535323
64150,1.368286,6.293159,7.599196,-0.197182,0.054625,-0.544116
64250,0.757765,6.373365,7.167043,0.140426,0.280319,-0.406888
64350,-0.004788,6.189012,6.581660,0.143890,0.355194,-0.316557
64450,-0.068235,5.876568,6.427235,0.203044,0.251008,-0.287779
64550,-1.097741,6.145916,6.077681,0.320821,0.384239,-0.214502
64650,-1.233014,7.034164,6.849811,0.462046,0.231289,-0.220897
64750,-1.705869,7.412448,6.088455,0.258202,0.100190,-0.130300
64850,-1.261744,7.376535,6.057330,0.285648,0.048763,-0.071412
64950,-1.810017,7.704541,5.725733,0.155614,0.168138,-0.003997
65050,-1.810017,7.916428,5.653907,0.258469,0.075409,0.052493
65150,-1.746570,7.970297,5.582081,0.239816,0.073810,0.169204
65250,-1.570596,8.118738,5.337873,0.216900,0.108717,0.224361
65350,-2.357092,8.129512,4.909311,0.205976,0.114845,0.140426
65450,-1.748964,7.931990,5.069722,0.132165,-0.073544,0.138560
65550,-1.686715,8.501810,4.945224,0.146288,0.031176,0.245678
65650,-1.763330,8.625112,4.626795,0.109783,0.072744,0.121507
65750,-1.654393,8.682572,4.782418,0.160677,0.008793,0.023715
65850,-1.763330,8.402451,4.940435,0.081538,0.068214,0.011191
65950,-1.604115,8.621520,4.637568,0.041835,0.017587,0.004263
66050,-1.728614,8.415619,4.284424,0.098058,0.053559,0.018919
66150,-1.838747,9.024943,4.712986,0.064217,0.066349,0.021317
66250,-1.765724,8.559271,4.596867,0.068214,-0.041568,0.025047
66350,-1.429338,8.415619,4.436456,0.108983,-0.081804,0.039170
66450,-1.711854,8.956709,4.364630,0.087666,-0.011191,0.052760
66550,-1.704672,8.799889,4.169502,0.065816,-0.006129,0.099390
66650,-1.762132,8.632295,4.150349,0.054891,-0.037305,0.101522
66750,-1.425747,8.825027,4.405331,0.014655,-0.000533,0.175332
66850,-1.414973,8.718486,4.226963,0.088998,-0.056757,0.138560
66950,-1.404199,9.343372,4.378995,0.142824,-0.183326,0.132165
67150,-1.145625,9.198523,3.403358,0.115911,-0.245412,0.095660
67350,-1.042675,9.058462,3.739743,-0.113513,-0.424475,0.103654
67550,-1.036689,9.039309,3.213019,-0.253672,-0.857476,0.021583
67750,0.550666,10.001778,6.460753,-0.131366,-0.680279,0.490025
67950,3.659537,8.026561,7.712921,-0.922493,-0.800720,-0.279786
68150,1.363498,8.208521,5.881356,-0.411152,-0.278720,-0.301369
