time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
261052,2.115277,5.634754,8.030152,0.129501,-0.157746,-0.046098
261152,1.900996,5.420473,7.961918,0.083403,-0.103654,-0.091663
261252,2.243367,5.385756,8.137892,0.017054,-0.083136,-0.060753
261352,2.223016,5.469554,7.905654,-0.020518,-0.077807,-0.062352
261752,2.457648,4.965574,8.157045,0.010126,-0.108717,-0.081804
261852,2.041057,4.868609,8.094796,-0.000799,-0.127369,-0.057556
261952,2.153584,4.938041,8.124723,0.010925,-0.050628,-0.023182
262052,2.149993,4.938041,8.228871,0.022649,-0.062086,-0.005063
262152,2.234987,4.939238,8.280347,0.039703,-0.054092,-0.015988
262252,2.238579,5.017050,8.203732,0.047430,-0.025580,0.003730
262352,2.201468,4.967968,8.206126,0.041035,-0.039436,-0.007194
262452,2.184709,5.051765,8.180987,0.045565,-0.035972,-0.002132
262552,2.126051,5.080496,8.185776,0.034907,-0.020251,0.020518
262652,2.087744,5.108029,8.076839,0.040236,-0.040236,0.014655
262752,2.269703,5.169082,8.081628,0.046631,-0.051161,0.013057
262852,2.154782,5.193024,8.128315,0.027446,-0.038637,-0.001332
263152,2.164358,5.094861,8.055291,0.039170,-0.067415,-0.005862
263252,2.214637,5.069722,8.159439,0.029044,-0.077541,-0.026646
263352,2.274492,5.064934,8.161834,0.034374,-0.107917,-0.052760
263452,2.100912,5.052963,8.119935,0.026913,-0.056490,-0.010126
263552,2.251747,5.037400,8.171411,0.033574,-0.035440,-0.000533
263652,2.217031,5.036203,8.139089,0.039969,-0.055424,-0.018119
263752,2.155979,5.049371,8.151060,0.041035,-0.032775,0.017853
263852,2.264915,5.085284,8.152257,0.042900,-0.043700,0.007194
263952,2.121263,5.075707,8.084022,0.046631,-0.037838,0.013590
264052,2.158373,5.131971,8.076839,0.046897,-0.047430,0.014922
264152,2.185906,5.148731,8.121132,0.050628,-0.040769,0.005329
264252,2.122460,5.122395,8.117541,0.042101,-0.057822,-0.025847
264352,2.134431,5.243302,8.130709,0.017320,-0.054891,-0.056757
264452,2.229002,5.231331,8.066066,-0.030643,-0.069014,-0.110315
264552,2.233790,5.354632,8.097190,-0.061020,-0.088199,-0.128968
264652,2.163161,5.316325,7.893683,-0.069547,-0.100190,-0.106585
264752,2.090138,5.196615,8.166622,-0.043966,-0.153749,-0.154282
264852,1.884237,4.908113,8.169016,-0.039436,-0.159611,-0.141758
264952,2.254141,4.689044,8.215703,-0.040769,-0.168404,-0.145755
265052,2.552219,4.534618,8.592790,-0.015188,-0.172934,-0.134297
265152,2.533065,4.571728,8.674192,0.007461,-0.032242,0.014922
265252,2.292448,4.436456,8.322245,-0.123106,-0.100456,-0.155614
265352,2.686294,4.358644,8.224083,-0.185991,-0.159877,-0.323219
265452,2.785654,4.170700,8.178593,-0.129501,-0.212104,-0.249142
265652,2.837129,3.779247,8.730456,0.049828,-0.216900,-0.270726
265752,2.857480,3.707421,9.707291,0.300836,-0.013856,-0.248876
265852,2.604892,4.100070,8.097190,-0.011191,-0.402358,-0.688006
265952,0.128090,5.230134,8.165425,0.001599,-0.189188,-0.274723
266052,0.912191,6.046556,8.498219,0.068214,0.054358,-0.147887
266152,1.426944,5.191826,7.392098,0.215835,-0.643507,-0.520934
266252,1.856703,5.216966,7.741651,0.041035,-0.051960,-0.155881
266352,2.080561,5.020641,7.949947,-0.104986,-0.333345,-0.353862
