time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
24753,-0.323217,3.479972,9.074024,0.031176,-0.047963,0.015188
24853,-0.322020,3.441665,9.108741,0.031709,-0.045032,0.013590
25053,-0.349553,3.485958,9.062054,0.039969,-0.046364,0.013057
25153,-0.308852,3.454833,9.082404,0.033841,-0.047430,0.014123
25253,-0.307655,3.495534,9.108741,0.037571,-0.044233,0.014655
25353,-0.308852,3.481169,9.101558,0.044766,-0.042634,0.010925
25453,-0.322020,3.457227,9.090784,0.039969,-0.042900,0.014123
25553,-0.338780,3.472790,9.057265,0.037305,-0.045032,0.014655
25653,-0.356736,3.493140,9.088389,0.041302,-0.040502,0.009859
25753,-0.354342,3.460819,9.095572,0.031975,-0.048230,0.016521
25853,-0.354342,3.483563,9.066842,0.030377,-0.043966,0.014389
25953,-0.322020,3.434482,9.062054,0.028778,-0.046897,0.015188
26053,-0.307655,3.483563,9.084799,0.036239,-0.044233,0.014123
26153,-0.337582,3.485958,9.081207,0.033574,-0.044233,0.014389
26253,-0.314838,3.484761,9.117120,0.030377,-0.043433,0.016254
26353,-0.332794,3.451242,9.068039,0.049296,-0.041302,0.011458
26453,-0.345962,3.493140,9.101558,0.033308,-0.042368,0.013057
26653,-0.333991,3.471592,9.090784,0.037571,-0.045299,0.013323
26753,-0.330400,3.442862,9.147048,0.036239,-0.044499,0.014922
26853,-0.356736,3.448848,9.080010,0.039703,-0.042900,0.012524
26953,-0.319626,3.428497,9.088389,0.033841,-0.045032,0.014922
27053,-0.349553,3.454833,9.107543,0.036772,-0.045832,0.015721
27153,-0.335188,3.439271,9.070433,0.039170,-0.044766,0.012524
27253,-0.355539,3.483563,9.133880,0.042900,-0.041302,0.012257
27353,-0.344765,3.423708,9.114726,0.039703,-0.047963,0.014922
27453,-0.336385,3.470395,9.113529,0.043700,-0.047963,0.011991
27553,-0.320823,3.429694,9.095572,0.029044,-0.046631,0.014922
27653,-0.311246,3.445256,9.095572,0.051427,-0.044499,0.012524
27753,-0.345962,3.464410,9.102755,0.042900,-0.046631,0.012257
27853,-0.336385,3.464410,9.087193,0.038371,-0.046631,0.013590
27953,-0.310049,3.464410,9.087193,0.036505,-0.044233,0.014655
28053,-0.337582,3.493140,9.118318,0.032242,-0.043700,0.013057
28153,-0.338780,3.420117,9.066842,0.027712,-0.048763,0.017587
28253,-0.347159,3.466804,9.095572,0.029577,-0.046364,0.012524
28353,-0.314838,3.423708,9.081207,0.029044,-0.047430,0.015988
28453,-0.316035,3.456030,9.088389,0.036772,-0.042900,0.014123
28553,-0.322020,3.442862,9.103952,0.034107,-0.041568,0.013057
28653,-0.333991,3.464410,9.093178,0.031176,-0.046364,0.016787
28853,-0.314838,3.433285,9.085996,0.033841,-0.047164,0.015188
28953,-0.332794,3.412935,9.087193,0.031176,-0.047697,0.015455
29053,-0.360327,3.479972,9.076419,0.037571,-0.046098,0.012790
29153,-0.322020,3.444059,9.105149,0.033841,-0.044233,0.012524
29253,-0.329203,3.441665,9.108741,0.040502,-0.045565,0.013590
29353,-0.328006,3.460819,9.071630,0.041035,-0.046897,0.013057
29453,-0.336385,3.448848,9.075222,0.036772,-0.049296,0.015455
29553,-0.323217,3.435679,9.077616,0.036239,-0.045299,0.013856
29653,-0.322020,3.459621,9.102755,0.041568,-0.046364,0.012790
29753,-0.316035,3.436877,9.054871,0.031709,-0.053825,0.019452
29853,-0.333991,3.487155,9.083601,0.036505,-0.048763,0.013323
29953,-0.312443,3.462016,9.090784,0.030643,-0.047164,0.015988
30053,-0.322020,3.456030,9.123106,0.033308,-0.042900,0.015721
30153,-0.324414,3.445256,9.132683,0.031975,-0.047697,0.015988
30453,-0.208296,3.447650,9.194932,0.011458,-0.066882,0.031709
30553,-0.253785,3.453636,9.161413,0.026646,-0.063152,0.063951
30653,-0.125696,3.537433,9.366117,-0.125504,-0.108184,0.057289
30753,-0.199916,3.499126,9.248801,-0.059688,-0.084469,0.054625
30853,0.112527,3.044227,9.555259,0.059155,0.034374,0.139093
30953,0.002394,3.529053,8.859743,0.015455,-0.228358,0.208107
31053,0.150835,2.752135,8.930372,0.019452,-0.280319,0.310695
31153,0.526724,3.227384,9.010578,0.055957,-0.203044,0.353063
